Title,Year,IMDb ID,Director,Rating,Votes,Box Office,Budget,Genres,Actors,Languages,Countries
X-Men: Days of Future Past,2014.0,1877832,Bryan Singer,7.9,765945.0,"$748,121,534, 28 Feb 2015","$200,000,000 (estimated)","Action, Adventure, Sci-Fi, Thriller","Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Nicholas Hoult, Anna Paquin, Elliot Page, Peter Dinklage, Shawn Ashmore","English, Vietnamese, French","United Kingdom, United States, Canada"
If I Stay,2014.0,1355630,R.J. Cutler,6.7,129700.0,"$78,874,843","$11,000,000 (estimated)","Drama, Fantasy, Music, Romance, Sci-Fi","Chloë Grace Moretz, Mireille Enos, Jamie Blackley, Joshua Leonard, Liana Liberato, Stacy Keach, Gabrielle Rose, Jakob Davies, Willa Milner, Aisha Hinds",English,United States
Leviathan,1989.0,97737,George P. Cosmatos,5.8,25227.0,,"$25,000,000 (estimated)","Adventure, Horror, Mystery, Sci-Fi, Thriller","Peter Weller, Richard Crenna, Amanda Pays, Daniel Stern, Ernie Hudson, Michael Carmine, Lisa Eilbacher, Hector Elizondo, Meg Foster, Eugene Lipinski",English,"Italy, United States"
The Purge: Anarchy,2014.0,2975578,James DeMonaco,6.4,167191.0,"$110,602,999","$9,000,000 (estimated)","Action, Horror, Sci-Fi, Thriller","Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Zoë Soul, Justina Machado, John Beasley, Jack Conley, Noel Gugliemi, Castulo Guerra",English,"United States, France"
Adult World,2013.0,1067765,Scott Coffey,6.1,18975.0,,"$4,000,000 (estimated)","Comedy, Drama","Emma Roberts, Summer Shelton, Chris Riggi, Shannon Woodward, Catherine Lloyd Burns, Reed Birney, Manu Gargi, Patricia Squire, Cloris Leachman, Scott Coffey",English,United States
Batman: Assault on Arkham,2014.0,3139086,"Jay Oliva, Ethan Spaulding",7.4,38681.0,,,"Animation, Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller","Kevin Conroy, Neal McDonough, Hynden Walch, Matthew Gray Gubler, Troy Baker, Eric Bauza, Chris Cox, John DiMaggio, Greg Ellis, Giancarlo Esposito",English,United States
Get on Up,2014.0,2473602,Tate Taylor,6.9,26527.0,,"$30,000,000 (estimated)","Biography, Drama, Music","Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Lennie James, Fred Melamed, Craig Robinson, Jill Scott, Octavia Spencer, Josh Hopkins",English,"United Kingdom, United States"
Doraemon: New Nobita's Great Demon-Peko and the Exploration Party of Five,2014.0,3949650,Shinnosuke Yakuwa,6.9,1408.0,"$35,861,856","$33,989,696 (estimated)","Animation, Action, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi","Wasabi Mizuta, Megumi Ôhara, Miku Natsume, Tomokazu Seki, Yumi Kakazu, Subaru Kimura, Masashi Hirose, Shihoko Hagino, Katsuhisa Hôki, Yû Kobayashi",Japanese,Japan
Godzilla,2014.0,831387,Gareth Edwards,6.4,452077.0,"$529,076,069","$160,000,000 (estimated)","Action, Adventure, Sci-Fi, Thriller","Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston, Elizabeth Olsen, Carson Bolde, Sally Hawkins, Juliette Binoche, David Strathairn, Richard T. Jones","English, Japanese","United States, Japan"
Gun Woman,2014.0,3141912,Kurando Mitsutake,4.8,3446.0,,,"Action, Thriller","Jennifer Mullaney, Matthew Floyd Miller, Dean Simone, Noriaki Kamata, Erika Maki, Tatsuya Nakadai, Marco Antonio Garcia, Mark Laurnoff, Racquel Service, Nina Kate","English, Japanese",Japan
The Town That Dreaded Sundown,2014.0,2561546,Alfonso Gomez-Rejon,5.6,17840.0,,,"Horror, Mystery, Thriller","Addison Timlin, Veronica Cartwright, Anthony Anderson, Travis Tope, Joshua Leonard, Andy Abele, Gary Cole, Edward Herrmann, Ed Lauter, Arabella Field",English,United States
Dolphin Tale 2,2014.0,2978462,Charles Martin Smith,6.4,10004.0,,"$36,000,000 (estimated)","Drama, Family","Harry Connick Jr., Ashley Judd, Nathan Gamble, Kris Kristofferson, Cozi Zuehlsdorff, Morgan Freeman, Austin Stowell, Betzaida Landín, Juliana Harkavy, Austin Highsmith Garces",English,United States
What We Did on Our Holiday,2014.0,2725962,"Andy Hamilton, Guy Jenkin",6.9,25411.0,,"GBP3,500,000 (estimated)","Comedy, Drama","Rosamund Pike, David Tennant, Billy Connolly, Ben Miller, Amelia Bullmore, Emilia Jones, Bobby Smalldridge, Harriet Turnbull, Celia Imrie, Annette Crosbie","English, Chinese, French",United Kingdom
Transcendence,2014.0,2209764,Wally Pfister,6.2,242152.0,"$109,322,309","$100,000,000 (estimated)","Drama, Sci-Fi, Thriller","Johnny Depp, Rebecca Hall, Paul Bettany, Cillian Murphy, Kate Mara, Cole Hauser, Morgan Freeman, Clifton Collins Jr., Cory Hardrict, Falk Hentschel",English,"United Kingdom, United States"
Zombie Fight Club,2014.0,3560742,Joe Chien,3.9,920.0,,,"Action, Comedy, Horror","Andy On, Jessica Cambensy, Michael Wong, Terence Yin, Jack Kao, Abby Fung, Heng-Yin Chou, Sharon Hsu, Philip Ng, MC HotDog",Mandarin,Taiwan
Kill the Messenger,2014.0,1216491,Michael Cuesta,6.9,49414.0,,,"Biography, Crime, Drama, Mystery, Thriller","Jeremy Renner, Robert Patrick, Jena Sims, Robert Pralgo, Hajji Golightly, Ted Huckabee, Mary Elizabeth Winstead, Lucas Hedges, Rosemarie DeWitt, Matt Lintz",English,United States
The Salvation,2014.0,2720680,Kristian Levring,6.7,44492.0,,"EUR10,500,000 (estimated)","Action, Drama, Thriller, Western","Mads Mikkelsen, Eva Green, Jeffrey Dean Morgan, Éric Cantona, Mikael Persbrandt, Douglas Henshall, Michael Raymond-James, Jonathan Pryce, Alexander Arnold, Nanna Øland Fabricius","English, Danish, Spanish","Denmark, United Kingdom, South Africa, Sweden, Belgium"
Birdman or (The Unexpected Virtue of Ignorance),2014.0,2562232,Alejandro G. Iñárritu,7.7,679543.0,"$103,215,094","$18,000,000 (estimated)","Comedy, Drama","Michael Keaton, Emma Stone, Kenny Chin, Jamahl Garrison-Lowe, Zach Galifianakis, Naomi Watts, Jeremy Shamos, Andrea Riseborough, Katherine O'Sullivan, Damian Young",English,United States
The Captive,2014.0,2326612,Atom Egoyan,5.9,36565.0,,"$10,000,000 (estimated)","Crime, Drama, Mystery, Thriller","Kevin Durand, Alexia Fast, Mireille Enos, Rosario Dawson, Aidan Shipley, Ryan Reynolds, Paige Baril, Bruce Greenwood, Scott Speedman, William MacDonald",English,Canada
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,1698641,Miguel Arteta,6.2,47469.0,"$100,654,149","$28,000,000 (estimated)","Comedy, Drama, Family, Fantasy","Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Elise Vargas, Zoey Vargas, Sidney Fullmer, Bella Thorne, Megan Mullally",English,"United States, Australia"
Beyond the Reach,2014.0,2911668,Jean-Baptiste Léonetti,5.6,11383.0,,,"Action, Adventure, Thriller","Michael Douglas, Jeremy Irvine, Hanna Mangan Lawrence, Ronny Cox, Patricia Bethune, Jadelyn Dawn Wilkins, Eddy Glenn Patterson, David Garver, Martin Palmer",English,United States
Whiplash,2014.0,2582802,Damien Chazelle,8.5,1056585.0,"$48,982,041","$3,300,000 (estimated)","Drama, Music","Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton, Suanne Spoke, Max Kasch",English,United States
About Last Night,1986.0,90583,Edward Zwick,6.3,18192.0,,"$8,500,000 (estimated)","Comedy, Drama, Romance","Rob Lowe, Demi Moore, Jim Belushi, Elizabeth Perkins, George DiCenzo, Michael Alldredge, Robin Thomas, Donna Gibbons, Megan Mullally, Patricia Duff",English,United States
The Boxtrolls,2014.0,787474,"Graham Annable, Anthony Stacchi",6.8,62976.0,"$109,285,033","$60,000,000 (estimated)","Animation, Adventure, Comedy, Family, Fantasy","Steve Blum, Dee Bradley Baker, Max Mitchell, Ben Kingsley, Jared Harris, Nick Frost, Richard Ayoade, Tracy Morgan, Nika Futterman, Pat Fraley",English,"United States, Canada"
Before I Go to Sleep,2014.0,1726592,Rowan Joffe,6.3,86346.0,,"$22,000,000 (estimated)","Drama, Mystery, Thriller","Nicole Kidman, Colin Firth, Mark Strong, Ben Crompton, Anne-Marie Duff, Adam Levy, Gabriel Strong, Flynn MacArthur, Dean-Charles Chapman, Hannah Blamires",English,"United Kingdom, United States, France, Sweden"
That Awkward Moment,2014.0,1800246,Tom Gormican,6.1,108788.0,"$53,068,955","$8,000,000 (estimated)","Comedy, Romance","Zac Efron, Miles Teller, Michael B. Jordan, Imogen Poots, Mackenzie Davis, Jessica Lucas, Addison Timlin, Josh Pais, Evelina Turen, Karen Ludwig",English,United States
Spring Breakers,2012.0,2101441,Harmony Korine,5.3,151360.0,,"$5,000,000 (estimated)","Crime, Drama, Thriller","James Franco, Selena Gomez, Vanessa Hudgens, Ashley Benson, Rachel Korine, Gucci Mane, Heather Elizabeth Morris, Ash Lendzion, Emma Holzer, Lee Irby",English,"United States, France"
Jacky in the Kingdom of Women,2014.0,2382422,Riad Sattouf,6.1,2775.0,,,Comedy,"Vincent Lacoste, Charlotte Gainsbourg, Didier Bourdon, Anémone, Valérie Bonneton, Michel Hazanavicius, Noémie Lvovsky, Laure Marsac, William Lebghil, Anthony Sonigo",French,France
262 - A Pigeon Sat on a Branch Reflecting on Existence,2020.0,30936380,,,,,,,,,
Skin Trade,2014.0,1641841,Ekachai Uekrongtham,5.6,8739.0,,"$9,000,000 (estimated)","Action, Crime, Thriller","Dolph Lundgren, Tony Jaa, Michael Jai White, Ron Perlman, Celina Jade, Peter Weller, Matthew James Ryder, Sahajak Boonthanakit, Mike Dopud, Leo Rano","English, Thai","Thailand, Canada, United States"
The Interview,2014.0,2788710,"Evan Goldberg, Seth Rogen",6.5,365137.0,"$12,342,632","$44,000,000 (estimated)","Action, Adventure, Comedy","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson","English, Korean, Japanese",United States
The Lego Movie,2014.0,1490017,"Phil Lord, Christopher Miller",7.7,399257.0,"$468,760,692","$200,000,000 (estimated)","Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie, David Burrows, Anthony Daniels, Charlie Day, Amanda Farinos, Keith Ferguson, Will Ferrell","English, Turkish","United States, Denmark, Australia, Norway"
Scooby-Doo! WrestleMania Mystery,2014.0,2337576,"Youngwon Jeong, Seung-goo Jo, Jinsung Kim, Brandon Vietti",6.2,4166.0,,,"Animation, Comedy, Family, Mystery, Sport","Frank Welker, Mindy Cohn, Grey Griffin, Matthew Lillard, Charles S. Dutton, Mary McCormack, John Cena, Tyrus, Michael Coulthard, Glenn Jacobs",English,United States
The Other Woman,2014.0,2203939,Nick Cassavetes,6.0,155947.0,"$196,781,193","$40,000,000 (estimated)","Comedy, Romance","Cameron Diaz, Leslie Mann, Nikolaj Coster-Waldau, Don Johnson, Kate Upton, Taylor Kinney, Nicki Minaj, Ken Maharaj, Alyshia Ochse, Victor Cruz",English,United States
Pride & Prejudice,2005.0,414387,Joe Wright,7.8,346616.0,"$121,147,947","$28,000,000 (estimated)","Drama, Romance","Keira Knightley, Talulah Riley, Rosamund Pike, Jena Malone, Carey Mulligan, Donald Sutherland, Brenda Blethyn, Claudie Blakley, Sylvester Morand, Simon Woods",English,"United Kingdom, France, United States"
The Quiet Ones,2024.0,32887283,Frederik Louis Hviid,6.5,478.0,,,"Action, Crime","Gustav Dyekjær Giese, Reda Kateb, Amanda Collin, Christopher Wagelin, Jens Hultén, Granit Rushiti, Amin Ahmed, Camilla Lau, Dagmar Madicken Greve Halse, Ida Cæcilie Rasmussen","Danish, English, Swedish, Arabic",Denmark
Calvary,2014.0,2234003,John Michael McDonagh,7.4,66000.0,,,"Crime, Drama, Mystery","Brendan Gleeson, Chris O'Dowd, Kelly Reilly, Aidan Gillen, Dylan Moran, Isaach De Bankolé, M. Emmet Walsh, Marie-Josée Croze, Domhnall Gleeson, David Wilmot",English,"Ireland, United Kingdom, United States"
Two Night Stand,2014.0,2140619,Max Nichols,6.3,75040.0,,,"Comedy, Romance","Lio Tipton, Miles Teller, Jessica Szohr, Kid Cudi, Berto Colon, Josh Salatin, Kellyn Lindsay, Michael Showalter, Leven Rambin, Joey Lauren Adams",English,United States
"I, Frankenstein",2014.0,1418377,Stuart Beattie,5.1,84758.0,"$74,575,290","$65,000,000 (estimated)","Action, Fantasy, Sci-Fi","Aaron Eckhart, Yvonne Strahovski, Miranda Otto, Bill Nighy, Jai Courtney, Socratis Otto, Aden Young, Caitlin Stasey, Mahesh Jadu, Steve Mouzakis",English,"United States, Australia"
[REC] 4: Apocalypse,2014.0,1649443,Jaume Balagueró,5.3,21207.0,,"EUR3,000,000 (estimated)","Action, Horror, Thriller","Manuela Velasco, Paco Manzanedo, Héctor Colomé, Ismael Fritschi, Críspulo Cabezas, Mariano Venancio, María Alfonsa Rosso, Carlos Zabala, Cristian Aquino, Emilio Buale",Spanish,Spain
Road to Paloma,2014.0,2386285,Jason Momoa,6.0,5717.0,,,"Drama, Thriller","Tye Alexander, Henree Alyse, Lisa Bonet, Kenneth Dale Borill, Chris Browning, Charlie Brumbly, Linden Chiles, Michael Hayes, Lance Henriksen, Robert Homer Mollohan",English,United States
Snow White and the Evil Queen,2025.0,29519891,,,,,,"Family, Romance",Brett Cooper,English,United States
Alien Abduction,2014.0,2510434,Matty Beckerman,4.9,9094.0,,,"Horror, Sci-Fi, Thriller","Katherine Sigismund, Corey Eid, Riley Polanski, Jillian Clare, Jeff Bowser, Peter Holden, Walter Phelan, Jordan Turchin, Ronald B. Bishop, Rick Chambers",English,United States
In Your Eyes,2014.0,2101569,Brin Hill,6.9,32462.0,,"$1,000,000 (estimated)","Fantasy, Romance","Michael Stahl-David, Zoe Kazan, Mark Feuerstein, David Gallagher, Jennifer Grey, Steve Howey, Nikki Reed, Kayd Currier, Preston Bailey, Reed Birney",English,United States
Guardians of the Galaxy,2014.0,2015381,James Gunn,8.0,1308141.0,"$774,176,600","$170,000,000 (estimated)","Action, Adventure, Comedy, Sci-Fi","Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly",English,"United States, United Kingdom"
Indigenous,2014.0,2815072,Alastair Orr,4.5,4327.0,,,Horror,"Zachary Soetenga, Lindsey McKeon, Sofia Pernas, Pierson Fode, Jamie Anderson, Mark Steger, Juanxo Villaverde, Laura Penuela, Jaime Newball, Ana Alejandra Carrizo","English, Spanish","United States, Panama"
The Imitation Game,2014.0,2084970,Morten Tyldum,8.0,847967.0,"$227,774,226","$14,000,000 (estimated)","Biography, Drama, Thriller, War","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear, Allen Leech, Matthew Beard, Charles Dance, Mark Strong, James Northcote, Tom Goodman-Hill","English, German",United States
I Origins,2014.0,2884206,Mike Cahill,7.3,136670.0,,"$1,000,000 (estimated)","Drama, Mystery, Romance, Sci-Fi","Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling, Dorien Makhloghi, Charles Woods Gray, John Schiumo, Farasha Baylock, Ako, Christopher Santamaria","English, Hindi",United States
The Remaining,2014.0,2714380,Casey La Scala,4.3,9293.0,,,"Drama, Fantasy, Horror, Mystery, Thriller","Johnny Pacar, Shaun Sipos, Bryan Dechart, Alexa PenaVega, Italia Ricci, Liz E. Morgan, Kimberley Drummond, John Pyper-Ferguson, Kim Pacheco, John Keenan",English,United States
Still Alice,2014.0,3316960,"Richard Glatzer, Wash Westmoreland",7.5,146613.0,"$43,884,652","$5,000,000 (estimated)",Drama,"Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish, Alec Baldwin, Seth Gilliam, Kristen Stewart, Stephen Kunken, Erin Darke, Daniel Gerroll",English,"United States, United Kingdom, France"
A Long Way Down,2014.0,458413,Pascal Chaumeil,6.3,35044.0,,"$12,000,000 (estimated)","Comedy, Drama","Pierce Brosnan, Toni Collette, Imogen Poots, Aaron Paul, Sarah Andre White, Joe Cole, Evelyn Duah, Therese Bradley, Sam Neill, Priyanga Burford",English,"United Kingdom, Germany"
Teenage Mutant Ninja Turtles,1990.0,100758,Steve Barron,6.8,107830.0,"$201,965,915","$13,500,000 (estimated)","Action, Adventure, Comedy, Family, Sci-Fi","Judith Hoag, Elias Koteas, Josh Pais, David Forman, Brian Tochi, Leif Tilden, Corey Feldman, Michelan Sisti, Robbie Rist, Kevin Clash","English, French","Hong Kong, United States"
The Normal Heart,2014.0,1684226,Ryan Murphy,7.9,38542.0,,,"Biography, Drama, History, Romance","Mark Ruffalo, Jonathan Groff, Frank De Julio, William DeMeritt, Taylor Kitsch, Joe Mantello, Sean Meehan, Stephen Spinella, Jill Melanie Wirth, BD Wong",English,United States
Messi,2014.0,3538766,Álex de la Iglesia,7.1,4482.0,,,"Documentary, Biography, Sport","Lionel Messi, Johan Cruijff, Kike Domínguez, Álex García, Pere Gratacós, Andrés Iniesta, Xavier Llorens, Javier Mascherano, César Luis Menotti, Xavier Pérez Farguell",Spanish,Spain
Lupin the 3rd,1977.0,159192,,8.0,2061.0,,,"Animation, Action, Adventure, Comedy, Crime, Fantasy, Mystery, Sci-Fi","Yasuo Yamada, Kiyoshi Kobayashi, Gorô Naya, Makio Inoue, Eiko Masuyama, Michael Sorich, Lia Sargent, Richard Cansino, Bob Papenbrook, Richard Epcar","English, French, Italian, Tagalog, Japanese",Japan
Joe Dirt,2001.0,245686,Dennie Gordon,6.0,62747.0,,"$17,700,000 (estimated)","Adventure, Comedy, Drama","David Spade, Brittany Daniel, Dennis Miller, Adam Beach, Christopher Walken, Jaime Pressly, Kid Rock, Erik Per Sullivan, Megan Taylor Harvey, Caroline Aaron",English,United States
The Third One,2014.0,3607322,Rodrigo Guerrero,5.9,771.0,,,"Drama, Romance","Carlos Echevarría, Emiliano Dionisi, Nicolás Armengol",Spanish,Argentina
Night Moves,1975.0,73453,Arthur Penn,7.1,18892.0,,,"Crime, Drama, Mystery, Thriller","Gene Hackman, Jennifer Warren, Edward Binns, Harris Yulin, Kenneth Mars, Janet Ward, James Woods, Anthony Costello, John Crawford, Melanie Griffith","English, Spanish, French",United States
Stand by Me Doraemon,2014.0,3331846,"Tony Oliver, Ryuichi Yagi, Takashi Yamazaki",7.3,10019.0,"$183,442,714","$35,000,000 (estimated)","Animation, Comedy, Drama, Family, Sci-Fi","Wasabi Mizuta, Megumi Ôhara, Satoshi Tsumabuki, Yumi Kakazu, Subaru Kimura, Tomokazu Seki, Sachi Matsumoto, Vanilla Yamazaki, Shihoko Hagino, Wataru Takagi",Japanese,"Japan, United States"
The Signal,2024.0,25375256,,6.0,7986.0,,,"Drama, Mystery, Sci-Fi, Thriller","Florian David Fitz, Peri Baumeister, Yuna Bennett, Hadi Khanjanpour, Sheeba Chaddha, Katharina Schüttler, Nilam Farooq, Meret Becker, Michael Kranz, Uwe Preuss",German,Germany
"Love, Rosie",2014.0,1638002,Christian Ditter,7.1,161424.0,"$25,574,387",,"Comedy, Romance","Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone, Suki Waterhouse, Tamsin Egerton, Jamie Beamish, Lorcan Cranitch, Ger Ryan, Lily Laight",English,"Germany, United Kingdom"
Maleficent,2014.0,1587310,Robert Stromberg,6.9,410513.0,"$758,539,785","$180,000,000 (estimated)","Action, Adventure, Drama, Family, Fantasy, Romance","Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville, Imelda Staunton, Juno Temple, Sam Riley, Brenton Thwaites, Kenneth Cranham, Sarah Flind",English,"United States, Canada, United Kingdom"
Hercules,1997.0,119282,"Ron Clements, John Musker",7.3,265409.0,"$252,712,101, 18 Aug 2012","$85,000,000 (estimated)","Animation, Action, Adventure, Comedy, Family, Fantasy, Musical, Romance","Barbara Barrie, Roger Bart, Mary Kay Bergman, Corey Burton, Danny DeVito, Jim Cummings, Keith David, Tate Donovan, Paddi Edwards, Susan Egan","English, Spanish, Greek",United States
Annabelle,2014.0,3322940,John R. Leonetti,5.5,182455.0,"$256,873,813","$6,500,000 (estimated)","Horror, Mystery, Thriller","Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard, Kerry O'Malley, Brian Howe, Eric Ladin, Ivar Brogger, Geoff Wehner, Gabriel Bateman",English,United States
Million Dollar Arm,2014.0,1647668,Craig Gillespie,7.0,48502.0,,"$25,000,000 (estimated)","Biography, Drama, Family, Sport","Jon Hamm, Pitobash, Suraj Sharma, Madhur Mittal, Aasif Mandvi, Darshan Jariwala, Lake Bell, Alan Arkin, Bill Paxton, Gregory Alan Williams","English, Hindi","United States, India, United Kingdom"
Selma,2014.0,1020072,Ava DuVernay,7.5,97172.0,"$66,787,908","$20,000,000 (estimated)","Biography, Drama, History","David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone, Mikeria Howard, Jordan Rice, Ebony Billups, Nadej K. Bailey, Elijah Oliver, Oprah Winfrey","English, Portuguese","United States, United Kingdom, France"
Chef,2014.0,2883512,Jon Favreau,7.3,240486.0,"$48,428,048","$11,000,000 (estimated)","Adventure, Comedy, Drama","Jon Favreau, John Leguizamo, Bobby Cannavale, Emjay Anthony, Scarlett Johansson, Dustin Hoffman, Sofía Vergara, Oliver Platt, Amy Sedaris, Robert Downey Jr.","English, Spanish",United States
Dawn of the Planet of the Apes,2014.0,2103281,Matt Reeves,7.6,497726.0,"$710,644,566","$170,000,000 (estimated)","Action, Adventure, Drama, Sci-Fi, Thriller","Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval","English, American Sign Language","United States, United Kingdom, Canada"
Blue Ruin,2013.0,2359024,Jeremy Saulnier,7.1,82380.0,"$719,241, 15 Jan 2016","$420,000 (estimated)","Crime, Drama, Thriller","Macon Blair, Ydaiber Orozco, Ronald Sarcos, Dani Santiago, Adrian Santiago, George Fredericks, Elizabeth Fredericks, Sidné Anderson, Brooke Bennett, Ellen Danaher",English,"United States, France"
Halo: Nightfall,2014.0,3804114,,5.5,5876.0,,,"Action, Adventure, Mystery, Sci-Fi, War","Steven Waddington, Siennah Buck, Mike Colter, Christian Contreras, Alex Bhat, Luke Neal, Jonathan Harden, Sarah Armstrong, Shaun Blaney, Katherine Fitzpatrick",English,
When the Game Stands Tall,2014.0,2247476,Thomas Carter,6.6,17200.0,,"$15,000,000 (estimated)","Biography, Drama, Family, Sport","Jim Caviezel, Michael Chiklis, Alexander Ludwig, Clancy Brown, Laura Dern, Matthew Daddario, Joe Massingill, Jessie T. Usher, Ser'Darius Blain, Stephan James",English,United States
Dead Snow 2: Red vs. Dead,2014.0,2832470,Tommy Wirkola,6.8,27573.0,,"NOK35,000,000 (estimated)","Action, Comedy, Horror","Geir Vegar Hoel, Ørjan Gamst, Martin Starr, Jocelyn DeBoer, Ingrid Haas, Stig Frode Henriksen, Hallvard Holmen, Kristoffer Joner, Amrita Acharia, Derek Mears","Norwegian, English, German","Norway, Iceland, United States, United Kingdom"
No Tears for the Dead,2014.0,3697566,Lee Jeong-beom,6.7,7495.0,,,"Action, Crime, Drama, Thriller","Jang Dong-gun, Kim Min-hee, Brian Tee, Kim Hee-won, Jun Kim, Jeon Bae-soo, Kim Min-jae, Lee Young-Ian, Anthony Dilio, Alexander Wraith","Korean, English, Spanish",South Korea
Deliver Us from Evil,2014.0,2377322,Scott Derrickson,6.2,88285.0,"$87,937,815","$30,000,000 (estimated)","Crime, Horror, Mystery, Thriller","Eric Bana, Edgar Ramírez, Olivia Munn, Chris Coy, Dorian Missick, Sean Harris, Joel McHale, Mike Houston, Lulu Wilson, Olivia Horton","English, Spanish, Latin, Italian",United States
Sub Rosa,2014.0,3071792,Krisstian de Lara,5.5,624.0,,,"Short, Drama, Romance","Julie Kendall, Mario Nalini, Mario Temes",English,United States
The Wild Robot,2024.0,29623480,Chris Sanders,8.2,143655.0,"$328,155,945","$78,000,000 (estimated)","Animation, Sci-Fi","Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu, Matt Berry, Ving Rhames, Mark Hamill, Catherine O'Hara, Boone Storm","English, German, French, Spanish, Swahili, Japanese","United States, Japan"
A Girl Walks Home Alone at Night,2014.0,2326554,Ana Lily Amirpour,6.9,39970.0,,,"Drama, Horror, Romance, Thriller","Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Navabi, Dominic Rains, Rome Shadanloo, Milad Eghbali, Reza Sixo Safai, Ray Haratian, Ana Lily Amirpour",Persian,United States
The Water Diviner,2014.0,3007512,Russell Crowe,7.0,79295.0,"$14,747,799, 15 May 2015","$22,500,000 (estimated)","Drama, History, War","Russell Crowe, Olga Kurylenko, Yilmaz Erdogan, Cem Yilmaz, Jai Courtney, Dylan Jett, Steve Bastoni, Isabel Lucas, Salih Kalyon, Megan Gale","English, Turkish, Greek, Russian","Australia, United States, Turkey"
Annie,1982.0,83564,John Huston,6.6,51174.0,,"$50,000,000 (estimated)","Comedy, Drama, Family, Musical","Albert Finney, Carol Burnett, Ann Reinking, Tim Curry, Bernadette Peters, Aileen Quinn, Geoffrey Holder, Roger Minami, Toni Ann Gisondi, Rosanne Sorrentino",English,United States
Where Hope Grows,2014.0,3200980,Chris Dowling,6.6,4411.0,,,"Drama, Family","Kristoffer Polaha, David DeSanctis, McKaley Miller, Michael Grant, William Zabka, Brooke Burns, Clyde Risley Jones, Alan Powell, Danica McKellar, Kerr Smith",English,United States
Big Hero 6,2014.0,2245084,"Don Hall, Chris Williams",7.8,523904.0,"$657,827,828","$165,000,000 (estimated)","Animation, Action, Adventure, Comedy, Crime, Family, Sci-Fi","Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung, Damon Wayans Jr., Genesis Rodriguez, James Cromwell, Alan Tudyk, Maya Rudolph",English,United States
Barbie: The Pearl Princess,2014.0,3504064,Ezekiel Norton,6.2,2109.0,,,"Animation, Family","Kelly Sheridan, Katie Crown, Mark Oliver, Rebecca Shoichet, Trish Pattendon, John Novak, Simon Hill, Peter New, Kathleen Barr, Patrick Gilmore",English,
The Fault in Our Stars,2014.0,2582846,Josh Boone,7.6,412677.0,"$307,239,013","$12,000,000 (estimated)","Drama, Romance","Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, Sam Trammell, Willem Dafoe, Lotte Verbeek, Ana Dela Cruz, Randy Kovitz, Toni Saladna",English,United States
Maya the Bee Movie,2014.0,3336368,Alexs Stadermann,5.9,2376.0,,,"Animation, Adventure, Comedy, Family","Richard Roxburgh, Kodi Smit-McPhee, Miriam Margolyes, Jacki Weaver, Noah Taylor, Heather Mitchell, Justine Clarke, David Collins, Coco Jack Gillies, Andy McPhee",English,"Australia, Germany, Belgium, Netherlands"
Shrew's Nest,2014.0,3417756,"Juanfer Andrés, Esteban Roel",6.7,7987.0,,,"Drama, Horror, Thriller","Macarena Gómez, Nadia de Santiago, Hugo Silva, Luis Tosar, Gracia Olayo, Lucía de la Fuente, Carolina Bang, Tomás del Estal, Kájel Martínez, Pedro Ruigómez",Spanish,"Spain, France"
